Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,First Name F_1,Last Name F_1,Nickname F_1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,First Name F_2,Last Name F_2,Nickname F_2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Light Heavyweight,Michal Oleksiejczuk,Shamil Gamzatov,KO/TKO,Punch,1,211,Michal Oleksiejczuk,Michal,Oleksiejczuk,Hussar,72.0,205.0,74.0,Southpaw,16,4,0,1995-02-22,1.0,32.0,55.0,0.58,32.0,55.0,0.0,0.0,,0.0,0.0,3.0,27.0,48.0,5.0,7.0,0.0,0.0,29.0,48.0,0.0,0.0,3.0,7.0,Shamil Gamzatov,Shamil,Gamzatov,,74.0,205.0,76.0,Orthodox,14,1,0,1990-08-09,0.0,35.0,67.0,0.52,35.0,67.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,45.0,13.0,16.0,6.0,6.0,34.0,65.0,1.0,2.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Featherweight,Lerone Murphy,Makwan Amirkhani,KO/TKO,Knee,2,14,Lerone Murphy,Lerone,Murphy,The Miracle,69.0,145.0,73.0,Orthodox,11,0,1,1991-07-22,1.0,4.0,5.0,0.8,7.0,8.0,0.0,0.0,,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,Makwan Amirkhani,Makwan,Amirkhani,Mr. Finland,70.0,145.0,72.0,Southpaw,16,7,0,1988-11-08,0.0,4.0,6.0,0.66,12.0,16.0,5.0,7.0,0.71,0.0,0.0,245.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Middleweight,Andre Petroski,Hu Yaozong,SUB,Arm Triangle,3,286,Andre Petroski,Andre,Petroski,,72.0,185.0,73.0,Switch,7,2,0,1991-06-12,0.0,72.0,102.0,0.7,79.0,111.0,4.0,8.0,0.5,6.0,1.0,579.0,60.0,88.0,10.0,12.0,2.0,2.0,42.0,67.0,0.0,0.0,30.0,35.0,Hu Yaozong,Hu,Yaozong,Totoro,75.0,185.0,72.0,Orthodox,3,3,0,1995-04-07,0.0,25.0,65.0,0.38,27.0,67.0,0.0,0.0,,0.0,0.0,13.0,17.0,57.0,6.0,6.0,2.0,2.0,24.0,64.0,1.0,1.0,0.0,0.0
UFC 267: Blachowicz vs. Teixeira,2021-10-30,Flyweight,Tagir Ulanbekov,Allan Nascimento,S-DEC,,3,300,Tagir Ulanbekov,Tagir,Ulanbekov,,67.0,125.0,70.0,Southpaw,14,1,0,1991-08-07,0.0,18.0,40.0,0.45,62.0,87.0,4.0,5.0,0.8,1.0,1.0,724.0,16.0,37.0,1.0,1.0,1.0,2.0,8.0,26.0,0.0,0.0,10.0,14.0,Allan Nascimento,Allan,Nascimento,Puro Osso,68.0,125.0,69.0,Orthodox,17,6,0,1991-09-11,0.0,25.0,37.0,0.67,74.0,86.0,0.0,1.0,0.0,2.0,0.0,16.0,13.0,24.0,2.0,3.0,10.0,10.0,14.0,25.0,1.0,2.0,10.0,10.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Light Heavyweight,Marvin Vettori,Paulo Costa,U-DEC,,5,300,Marvin Vettori,Marvin,Vettori,The Italian Dream,72.0,205.0,74.0,Southpaw,18,5,1,1993-09-20,0.0,190.0,346.0,0.54,214.0,373.0,1.0,5.0,0.2,0.0,0.0,207.0,154.0,307.0,33.0,36.0,3.0,3.0,168.0,316.0,21.0,29.0,1.0,1.0,Paulo Costa,Paulo,Costa,The Eraser,73.0,205.0,72.0,Orthodox,13,2,0,1991-04-21,0.0,163.0,260.0,0.62,172.0,269.0,1.0,1.0,1.0,0.0,0.0,47.0,82.0,174.0,67.0,72.0,14.0,14.0,154.0,249.0,5.0,5.0,4.0,6.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Lightweight,DRAW,DRAW,M-DEC,,3,300,Grant Dawson,Grant,Dawson,KGD,70.0,155.0,72.0,Switch,17,1,1,1994-02-20,0.0,24.0,31.0,0.77,71.0,85.0,3.0,11.0,0.27,0.0,0.0,506.0,12.0,17.0,11.0,13.0,1.0,1.0,3.0,7.0,2.0,2.0,19.0,22.0,Ricky Glenn,Ricky,Glenn,The Gladiator,72.0,155.0,70.0,Southpaw,22,6,2,1989-04-12,0.0,28.0,41.0,0.68,88.0,104.0,0.0,0.0,,1.0,0.0,270.0,19.0,26.0,7.0,12.0,2.0,3.0,8.0,19.0,1.0,1.0,19.0,21.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Women's Bantamweight,Jessica-Rose Clark,Joselyne Edwards,U-DEC,,3,300,Jessica-Rose Clark,Jessica-Rose,Clark,,65.0,135.0,64.0,Orthodox,11,6,0,1987-11-28,0.0,18.0,27.0,0.66,54.0,74.0,5.0,11.0,0.45,0.0,0.0,700.0,9.0,17.0,5.0,5.0,4.0,5.0,10.0,19.0,4.0,4.0,4.0,4.0,Joselyne Edwards,Joselyne,Edwards,La Pantera,68.0,135.0,70.0,Orthodox,10,4,0,1995-09-29,0.0,30.0,48.0,0.62,72.0,94.0,0.0,0.0,,0.0,0.0,98.0,19.0,33.0,7.0,9.0,4.0,6.0,23.0,41.0,3.0,3.0,4.0,4.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Featherweight,Alex Caceres,SeungWoo Choi,SUB,Rear Naked Choke,2,211,Alex Caceres,Alex,Caceres,Bruce Leeroy,70.0,145.0,73.0,Southpaw,19,12,0,1988-06-20,0.0,46.0,64.0,0.71,54.0,72.0,0.0,0.0,,1.0,0.0,49.0,22.0,33.0,13.0,17.0,11.0,14.0,37.0,54.0,9.0,10.0,0.0,0.0,SeungWoo Choi,SeungWoo,Choi,Sting,72.0,145.0,74.0,Orthodox,10,4,0,1992-11-03,1.0,33.0,98.0,0.33,38.0,104.0,0.0,0.0,,0.0,0.0,15.0,18.0,78.0,11.0,16.0,4.0,4.0,26.0,85.0,3.0,3.0,4.0,10.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Welterweight,Francisco Trinaldo,Dwight Grant,S-DEC,,3,300,Francisco Trinaldo,Francisco,Trinaldo,Massaranduba,69.0,170.0,70.0,Southpaw,27,8,0,1978-08-24,0.0,36.0,70.0,0.51,61.0,101.0,1.0,3.0,0.33,0.0,0.0,285.0,20.0,50.0,11.0,14.0,5.0,6.0,26.0,57.0,4.0,5.0,6.0,8.0,Dwight Grant,Dwight,Grant,The Body Snatcher,73.0,170.0,76.0,Switch,11,4,0,1984-09-14,0.0,31.0,133.0,0.23,41.0,145.0,1.0,1.0,1.0,0.0,0.0,11.0,20.0,114.0,7.0,14.0,4.0,5.0,28.0,128.0,1.0,1.0,2.0,4.0
UFC Fight Night: Costa vs. Vettori,2021-10-23,Light Heavyweight,Nicolae Negumereanu,Ike Villanueva,KO/TKO,Punches,1,78,Nicolae Negumereanu,Nicolae,Negumereanu,,72.0,205.0,78.0,Orthodox,11,1,0,1994-09-04,0.0,11.0,21.0,0.52,11.0,21.0,0.0,1.0,0.0,0.0,0.0,20.0,8.0,18.0,0.0,0.0,3.0,3.0,7.0,14.0,1.0,1.0,3.0,6.0,Ike Villanueva,Ike,Villanueva,Hurricane,73.0,205.0,73.0,Orthodox,18,13,0,1984-04-04,0.0,7.0,21.0,0.33,7.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,19.0,2.0,2.0,0.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0
