Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,First Name F_1,Last Name F_1,Nickname F_1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,First Name F_2,Last Name F_2,Nickname F_2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Joanna vs. Waterson,2019-10-12,Middleweight,Marvin Vettori,Andrew Sanchez,U-DEC,,3,300,Marvin Vettori,Marvin,Vettori,The Italian Dream,72.0,205.0,74.0,Southpaw,18,5,1,1993-09-20,0.0,85.0,205.0,0.41,86.0,206.0,0.0,0.0,,0.0,0.0,20.0,72.0,187.0,10.0,14.0,3.0,4.0,74.0,188.0,11.0,17.0,0.0,0.0,Andrew Sanchez,Andrew,Sanchez,El Dirte,73.0,185.0,74.0,Orthodox,13,7,0,1988-04-08,0.0,39.0,185.0,0.21,39.0,185.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,146.0,6.0,17.0,12.0,22.0,38.0,183.0,1.0,2.0,0.0,0.0
UFC Fight Night: Joanna vs. Waterson,2019-10-12,Women's Flyweight,JJ Aldrich,Lauren Mueller,U-DEC,,3,300,JJ Aldrich,JJ,Aldrich,,65.0,125.0,67.0,Southpaw,10,4,0,1992-09-29,0.0,74.0,160.0,0.46,78.0,164.0,1.0,2.0,0.5,0.0,0.0,112.0,59.0,142.0,10.0,11.0,5.0,7.0,70.0,151.0,4.0,9.0,0.0,0.0,Lauren Mueller,Lauren,Mueller,Princess Tiger,65.0,125.0,67.0,Orthodox,5,3,0,1991-11-15,0.0,54.0,147.0,0.36,60.0,153.0,1.0,1.0,1.0,0.0,0.0,21.0,34.0,117.0,10.0,20.0,10.0,10.0,52.0,145.0,2.0,2.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Middleweight,Israel Adesanya,Robert Whittaker,KO/TKO,Punch,2,213,Israel Adesanya,Israel,Adesanya,The Last Stylebender,76.0,185.0,80.0,Switch,21,1,0,1989-07-22,2.0,40.0,95.0,0.42,40.0,95.0,0.0,0.0,,0.0,0.0,4.0,27.0,80.0,6.0,8.0,7.0,7.0,37.0,91.0,0.0,0.0,3.0,4.0,Robert Whittaker,Robert,Whittaker,The Reaper,72.0,185.0,73.0,Orthodox,24,5,0,1990-12-20,0.0,32.0,116.0,0.27,32.0,116.0,0.0,0.0,,0.0,0.0,0.0,20.0,97.0,3.0,5.0,9.0,14.0,32.0,116.0,0.0,0.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Lightweight,Dan Hooker,Al Iaquinta,U-DEC,,3,300,Dan Hooker,Dan,Hooker,The Hangman,72.0,155.0,75.0,Switch,21,11,0,1990-02-13,1.0,98.0,207.0,0.47,104.0,213.0,0.0,1.0,0.0,0.0,0.0,149.0,68.0,168.0,7.0,13.0,23.0,26.0,76.0,182.0,0.0,0.0,22.0,25.0,Al Iaquinta,Al,Iaquinta,Raging,70.0,155.0,70.0,Orthodox,14,6,1,1987-04-30,0.0,37.0,116.0,0.31,38.0,117.0,0.0,3.0,0.0,0.0,0.0,24.0,21.0,93.0,7.0,11.0,9.0,12.0,37.0,116.0,0.0,0.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Heavyweight,Serghei Spivac,Tai Tuivasa,SUB,Arm Triangle,2,194,Serghei Spivac,Serghei,Spivac,Polar Bear,75.0,260.0,78.0,Orthodox,13,3,0,1995-01-24,0.0,23.0,42.0,0.54,40.0,60.0,6.0,8.0,0.75,1.0,0.0,261.0,22.0,41.0,1.0,1.0,0.0,0.0,8.0,27.0,1.0,1.0,14.0,14.0,Tai Tuivasa,Tai,Tuivasa,Bam Bam,74.0,264.0,75.0,Southpaw,13,3,0,1993-03-16,0.0,21.0,50.0,0.42,22.0,51.0,0.0,0.0,,0.0,0.0,5.0,8.0,32.0,4.0,8.0,9.0,10.0,17.0,39.0,4.0,9.0,0.0,2.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Welterweight,Dhiego Lima,Luke Jumeau,S-DEC,,3,300,Dhiego Lima,Dhiego,Lima,,74.0,170.0,75.0,Orthodox,17,9,0,1989-01-31,0.0,32.0,105.0,0.3,49.0,124.0,2.0,6.0,0.33,0.0,0.0,160.0,15.0,72.0,2.0,12.0,15.0,21.0,30.0,99.0,0.0,0.0,2.0,6.0,Luke Jumeau,Luke,Jumeau,The Jedi,71.0,170.0,72.0,Orthodox,13,5,0,1988-02-12,0.0,24.0,95.0,0.25,24.0,95.0,0.0,0.0,,0.0,0.0,0.0,17.0,85.0,1.0,4.0,6.0,6.0,24.0,95.0,0.0,0.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Heavyweight,Yorgan De Castro,Justin Tafa,KO/TKO,Punch,1,130,Yorgan De Castro,Yorgan,De Castro,The Mad Titan,72.0,250.0,74.0,Orthodox,6,3,0,1986-12-19,1.0,4.0,12.0,0.33,6.0,14.0,0.0,0.0,,0.0,0.0,12.0,2.0,10.0,2.0,2.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,Justin Tafa,Justin,Tafa,Bad Man,72.0,264.0,74.0,Southpaw,4,3,0,1993-12-13,0.0,6.0,9.0,0.66,17.0,20.0,0.0,0.0,,0.0,0.0,69.0,5.0,8.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,6.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Welterweight,Jake Matthews,Rostem Akman,U-DEC,,3,300,Jake Matthews,Jake,Matthews,The Celtic Kid,71.0,170.0,73.0,Orthodox,17,5,0,1994-08-19,0.0,59.0,133.0,0.44,61.0,136.0,0.0,2.0,0.0,0.0,0.0,49.0,19.0,76.0,20.0,35.0,20.0,22.0,53.0,127.0,6.0,6.0,0.0,0.0,Rostem Akman,Rostem,Akman,,70.0,170.0,72.0,Switch,6,2,0,1991-12-19,0.0,15.0,110.0,0.13,15.0,110.0,0.0,0.0,,0.0,0.0,3.0,8.0,94.0,6.0,15.0,1.0,1.0,11.0,104.0,4.0,6.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Welterweight,Callan Potter,Maki Pitolo,U-DEC,,3,300,Callan Potter,Callan,Potter,The Rockstar,72.0,170.0,72.0,Orthodox,18,9,0,1984-06-09,0.0,48.0,96.0,0.5,127.0,198.0,3.0,4.0,0.75,0.0,1.0,505.0,44.0,91.0,2.0,3.0,2.0,2.0,41.0,89.0,4.0,4.0,3.0,3.0,Maki Pitolo,Maki,Pitolo,Coconut Bombz,70.0,185.0,75.0,Orthodox,13,8,0,1990-11-24,0.0,60.0,155.0,0.38,103.0,198.0,0.0,2.0,0.0,1.0,1.0,94.0,49.0,142.0,9.0,11.0,2.0,2.0,60.0,155.0,0.0,0.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Lightweight,Brad Riddell,Jamie Mullarkey,U-DEC,,3,300,Brad Riddell,Brad,Riddell,Quake,67.0,155.0,71.0,Orthodox,10,1,0,1991-09-30,0.0,91.0,153.0,0.59,104.0,167.0,1.0,1.0,1.0,0.0,1.0,179.0,70.0,129.0,14.0,16.0,7.0,8.0,63.0,121.0,3.0,3.0,25.0,29.0,Jamie Mullarkey,Jamie,Mullarkey,,72.0,155.0,74.0,Orthodox,14,4,0,1994-08-17,0.0,36.0,95.0,0.37,41.0,100.0,3.0,15.0,0.2,1.0,1.0,203.0,25.0,83.0,4.0,4.0,7.0,8.0,35.0,93.0,0.0,0.0,1.0,2.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Women's Featherweight,Megan Anderson,Zarah Fairn,SUB,Triangle Choke,1,237,Megan Anderson,Megan,Anderson,,72.0,145.0,72.0,Orthodox,11,5,0,1990-02-11,0.0,10.0,18.0,0.55,22.0,33.0,1.0,2.0,0.5,1.0,0.0,203.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,10.0,13.0,Zarah Fairn,Zarah,Fairn,Infinite,68.0,135.0,72.0,Orthodox,6,4,0,1983-12-10,0.0,2.0,5.0,0.4,32.0,45.0,0.0,0.0,,0.0,1.0,23.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Women's Flyweight,Ji Yeon Kim,Nadia Kassem,KO/TKO,Punch,2,299,Ji Yeon Kim,Ji Yeon,Kim,Firefist,67.0,125.0,72.0,Orthodox,9,4,2,1989-10-18,1.0,80.0,179.0,0.44,83.0,185.0,0.0,0.0,,0.0,0.0,10.0,64.0,151.0,12.0,19.0,4.0,9.0,74.0,167.0,5.0,8.0,1.0,4.0,Nadia Kassem,Nadia,Kassem,,65.0,125.0,66.0,Southpaw,5,2,0,1995-11-15,0.0,45.0,131.0,0.34,53.0,139.0,1.0,2.0,0.5,0.0,0.0,63.0,9.0,67.0,31.0,56.0,5.0,8.0,40.0,119.0,4.0,8.0,1.0,4.0
UFC 243: Whittaker vs. Adesanya,2019-10-05,Bantamweight,NO CONTEST,NO CONTEST,Overturned,Arm Triangle,3,180,Khalid Taha,Khalid,Taha,The Warrior,65.0,135.0,69.0,Orthodox,13,4,0,1992-02-15,1.0,38.0,88.0,0.43,74.0,127.0,0.0,1.0,0.0,1.0,0.0,39.0,29.0,69.0,4.0,11.0,5.0,8.0,19.0,62.0,6.0,7.0,13.0,19.0,Bruno Silva,Bruno,Silva,Blindado,72.0,185.0,74.0,Orthodox,21,6,0,1989-07-13,0.0,20.0,50.0,0.4,51.0,88.0,2.0,11.0,0.18,0.0,0.0,419.0,9.0,33.0,8.0,11.0,3.0,6.0,10.0,31.0,1.0,1.0,9.0,18.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Middleweight,Jared Cannonier,Jack Hermansson,KO/TKO,Punch,2,27,Jared Cannonier,Jared,Cannonier,The Killa Gorilla,71.0,185.0,77.0,Switch,14,5,0,1984-03-16,1.0,28.0,53.0,0.52,29.0,54.0,0.0,0.0,,0.0,0.0,22.0,21.0,43.0,2.0,3.0,5.0,7.0,10.0,34.0,1.0,2.0,17.0,17.0,Jack Hermansson,Jack,Hermansson,The Joker,73.0,185.0,77.0,Orthodox,22,6,0,1988-06-10,0.0,20.0,42.0,0.47,22.0,45.0,1.0,6.0,0.16,0.0,0.0,45.0,5.0,21.0,2.0,5.0,13.0,16.0,19.0,41.0,1.0,1.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Lightweight,Mark Madsen,Danilo Belluardo,KO/TKO,Punches,1,72,Mark Madsen,Mark,Madsen,The Olympian,68.0,155.0,72.0,Orthodox,11,0,0,1984-09-23,0.0,22.0,29.0,0.75,24.0,31.0,1.0,2.0,0.5,0.0,0.0,51.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,21.0,26.0,Danilo Belluardo,Danilo,Belluardo,Caterpillar,72.0,155.0,74.0,Southpaw,12,5,0,1994-07-21,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Gilbert Burns,Gunnar Nelson,U-DEC,,3,300,Gilbert Burns,Gilbert,Burns,Durinho,70.0,170.0,71.0,Orthodox,20,4,0,1986-07-20,0.0,30.0,76.0,0.39,46.0,99.0,1.0,3.0,0.33,1.0,0.0,115.0,8.0,47.0,8.0,11.0,14.0,18.0,19.0,55.0,10.0,18.0,1.0,3.0,Gunnar Nelson,Gunnar,Nelson,Gunni,71.0,170.0,72.0,Switch,17,5,1,1988-07-28,0.0,20.0,36.0,0.55,26.0,45.0,0.0,2.0,0.0,0.0,0.0,288.0,9.0,23.0,4.0,5.0,7.0,8.0,18.0,32.0,2.0,3.0,0.0,1.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Light Heavyweight,Ion Cutelaba,Khalil Rountree Jr.,KO/TKO,Elbows,1,155,Ion Cutelaba,Ion,Cutelaba,The Hulk,73.0,205.0,75.0,Southpaw,16,6,1,1993-12-14,0.0,15.0,26.0,0.57,16.0,27.0,4.0,5.0,0.8,0.0,0.0,80.0,14.0,25.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,13.0,19.0,Khalil Rountree Jr.,Khalil,Rountree Jr.,,73.0,205.0,76.0,Southpaw,10,5,0,1990-02-26,0.0,5.0,12.0,0.41,5.0,12.0,0.0,0.0,,0.0,0.0,0.0,4.0,11.0,1.0,1.0,0.0,0.0,3.0,7.0,2.0,5.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Light Heavyweight,Ovince Saint Preux,Michal Oleksiejczuk,SUB,Von Flue Choke,2,166,Ovince Saint Preux,Ovince,Saint Preux,,75.0,205.0,80.0,Southpaw,25,16,0,1983-04-08,0.0,14.0,48.0,0.29,20.0,54.0,1.0,2.0,0.5,1.0,0.0,50.0,5.0,36.0,9.0,12.0,0.0,0.0,11.0,45.0,3.0,3.0,0.0,0.0,Michal Oleksiejczuk,Michal,Oleksiejczuk,Hussar,72.0,205.0,74.0,Southpaw,16,4,0,1995-02-22,0.0,37.0,78.0,0.47,39.0,80.0,0.0,0.0,,0.0,0.0,90.0,23.0,59.0,13.0,18.0,1.0,1.0,32.0,71.0,2.0,2.0,3.0,5.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Nicolas Dalby,Alex Oliveira,U-DEC,,3,300,Nicolas Dalby,Nicolas,Dalby,Danish Dynamite,71.0,170.0,74.0,Orthodox,19,4,1,1984-11-16,0.0,31.0,84.0,0.36,64.0,122.0,1.0,4.0,0.25,0.0,1.0,328.0,19.0,64.0,5.0,12.0,7.0,8.0,9.0,45.0,11.0,18.0,11.0,21.0,Alex Oliveira,Alex,Oliveira,Cowboy,71.0,170.0,76.0,Orthodox,22,11,1,1988-02-21,0.0,18.0,47.0,0.38,31.0,65.0,3.0,4.0,0.75,0.0,0.0,236.0,14.0,40.0,0.0,2.0,4.0,5.0,13.0,36.0,1.0,3.0,4.0,8.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Middleweight,John Phillips,Alen Amedovski,KO/TKO,Punch,1,17,John Phillips,John,Phillips,The Welsh Wrecking Machine,71.0,185.0,75.0,Southpaw,22,11,0,1985-06-09,1.0,5.0,8.0,0.62,5.0,8.0,0.0,0.0,,0.0,0.0,2.0,4.0,7.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,2.0,Alen Amedovski,Alen,Amedovski,,70.0,185.0,74.0,Orthodox,8,2,0,1988-04-06,0.0,2.0,11.0,0.18,2.0,11.0,0.0,0.0,,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Middleweight,Makhmud Muradov,Alessio Di Chirico,U-DEC,,3,300,Makhmud Muradov,Makhmud,Muradov,Mach,74.0,185.0,75.0,Orthodox,25,7,0,1990-02-08,0.0,54.0,169.0,0.31,56.0,171.0,0.0,3.0,0.0,0.0,0.0,38.0,32.0,133.0,19.0,32.0,3.0,4.0,49.0,160.0,5.0,9.0,0.0,0.0,Alessio Di Chirico,Alessio,Di Chirico,Manzo,72.0,185.0,74.0,Orthodox,13,6,0,1989-12-12,0.0,36.0,113.0,0.31,37.0,114.0,0.0,2.0,0.0,0.0,0.0,43.0,31.0,100.0,0.0,4.0,5.0,9.0,30.0,104.0,6.0,9.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Welterweight,Ismail Naurdiev,Siyar Bahadurzada,U-DEC,,3,300,Ismail Naurdiev,Ismail,Naurdiev,The Austrian Wonderboy,70.0,170.0,74.0,Orthodox,19,4,0,1996-08-18,0.0,69.0,126.0,0.54,149.0,218.0,3.0,3.0,1.0,0.0,0.0,344.0,30.0,71.0,15.0,24.0,24.0,31.0,63.0,113.0,0.0,0.0,6.0,13.0,Siyar Bahadurzada,Siyar,Bahadurzada,The Great,71.0,170.0,73.0,Orthodox,24,8,1,1984-04-17,0.0,12.0,96.0,0.12,14.0,98.0,0.0,0.0,,0.0,0.0,0.0,10.0,89.0,2.0,5.0,0.0,2.0,12.0,95.0,0.0,1.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Featherweight,Giga Chikadze,Brandon Davis,S-DEC,,3,300,Giga Chikadze,Giga,Chikadze,Ninja,72.0,145.0,74.0,Orthodox,14,2,0,1988-08-25,0.0,59.0,119.0,0.49,71.0,133.0,1.0,2.0,0.5,0.0,1.0,71.0,44.0,91.0,8.0,16.0,7.0,12.0,43.0,99.0,0.0,0.0,16.0,20.0,Brandon Davis,Brandon,Davis,Killer B,70.0,135.0,72.0,Orthodox,10,9,0,1990-05-08,0.0,34.0,99.0,0.34,36.0,103.0,3.0,7.0,0.42,0.0,0.0,182.0,20.0,77.0,5.0,9.0,9.0,13.0,26.0,91.0,3.0,3.0,5.0,5.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Women's Bantamweight,Lina Lansberg,Macy Chiasson,U-DEC,,3,300,Lina Lansberg,Lina,Lansberg,Elbow Queen,67.0,135.0,65.0,Orthodox,10,5,0,1982-03-13,0.0,21.0,39.0,0.53,49.0,91.0,2.0,4.0,0.5,0.0,0.0,465.0,18.0,36.0,2.0,2.0,1.0,1.0,2.0,8.0,8.0,15.0,11.0,16.0,Macy Chiasson,Macy,Chiasson,,71.0,135.0,72.0,Orthodox,8,1,0,1991-07-27,0.0,26.0,47.0,0.55,58.0,94.0,0.0,4.0,0.0,0.0,0.0,347.0,4.0,22.0,21.0,23.0,1.0,2.0,4.0,18.0,22.0,29.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Lightweight,Marc Diakiese,Lando Vannata,U-DEC,,3,300,Marc Diakiese,Marc,Diakiese,Bonecrusher,70.0,155.0,73.0,Orthodox,14,4,0,1993-03-16,0.0,40.0,99.0,0.4,45.0,111.0,4.0,7.0,0.57,0.0,0.0,308.0,16.0,52.0,10.0,25.0,14.0,22.0,31.0,84.0,2.0,3.0,7.0,12.0,Lando Vannata,Lando,Vannata,Groovy,69.0,155.0,71.0,Orthodox,12,5,2,1992-03-14,0.0,25.0,70.0,0.35,51.0,108.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,36.0,8.0,12.0,13.0,22.0,24.0,66.0,1.0,4.0,0.0,0.0
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,Bantamweight,Jack Shore,Nohelin Hernandez,SUB,Rear Naked Choke,3,171,Jack Shore,Jack,Shore,Tank,68.0,135.0,71.0,Orthodox,15,0,0,1995-02-06,0.0,46.0,92.0,0.5,81.0,139.0,4.0,7.0,0.57,1.0,0.0,391.0,33.0,76.0,2.0,2.0,11.0,14.0,26.0,58.0,3.0,4.0,17.0,30.0,Nohelin Hernandez,Nohelin,Hernandez,Suave,70.0,135.0,71.0,Orthodox,9,4,0,1994-03-01,0.0,6.0,36.0,0.16,9.0,39.0,0.0,0.0,,0.0,1.0,40.0,5.0,34.0,0.0,0.0,1.0,2.0,4.0,32.0,2.0,4.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,NO CONTEST,NO CONTEST,CNC,,1,15,Yair Rodriguez,Yair,Rodriguez,El Pantera,71.0,145.0,71.0,Orthodox,13,2,0,1992-10-06,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,Jeremy Stephens,Jeremy,Stephens,Lil' Heathen,69.0,145.0,71.0,Orthodox,28,19,0,1986-05-25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Strawweight,Carla Esparza,Alexa Grasso,M-DEC,,3,300,Carla Esparza,Carla,Esparza,Cookie Monster,61.0,115.0,63.0,Orthodox,19,6,0,1987-10-10,0.0,44.0,80.0,0.55,115.0,157.0,4.0,11.0,0.36,0.0,1.0,431.0,27.0,60.0,11.0,14.0,6.0,6.0,28.0,59.0,6.0,9.0,10.0,12.0,Alexa Grasso,Alexa,Grasso,,65.0,125.0,66.0,Orthodox,13,3,0,1993-08-09,0.0,45.0,103.0,0.43,103.0,169.0,0.0,1.0,0.0,1.0,1.0,18.0,41.0,97.0,4.0,6.0,0.0,0.0,34.0,88.0,3.0,6.0,8.0,9.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Flyweight,DRAW,DRAW,S-DEC,,3,300,Brandon Moreno,Brandon,Moreno,The Assassin Baby,67.0,125.0,70.0,Orthodox,19,5,2,1993-12-07,1.0,34.0,82.0,0.41,70.0,120.0,1.0,1.0,1.0,0.0,1.0,384.0,28.0,69.0,6.0,12.0,0.0,1.0,18.0,55.0,2.0,2.0,14.0,25.0,Askar Askarov,Askar,Askarov,Bullet,66.0,125.0,67.0,Orthodox,13,0,1,1992-10-09,0.0,30.0,63.0,0.47,53.0,90.0,4.0,11.0,0.36,0.0,1.0,239.0,24.0,56.0,4.0,5.0,2.0,2.0,9.0,39.0,4.0,4.0,17.0,20.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Bantamweight,Irene Aldana,Vanessa Melo,U-DEC,,3,300,Irene Aldana,Irene,Aldana,,69.0,135.0,68.0,Orthodox,13,6,0,1988-03-26,0.0,125.0,333.0,0.37,127.0,335.0,0.0,0.0,,0.0,0.0,0.0,79.0,271.0,21.0,34.0,25.0,28.0,124.0,332.0,1.0,1.0,0.0,0.0,Vanessa Melo,Vanessa,Melo,,65.0,135.0,65.0,Orthodox,11,8,0,1988-03-27,0.0,68.0,250.0,0.27,68.0,250.0,0.0,1.0,0.0,0.0,0.0,13.0,48.0,207.0,9.0,28.0,11.0,15.0,68.0,250.0,0.0,0.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,Steven Peterson,Martin Bravo,KO/TKO,Spinning Back Fist,2,91,Steven Peterson,Steven,Peterson,Ocho,70.0,145.0,70.0,Orthodox,19,9,0,1990-05-29,1.0,49.0,105.0,0.46,53.0,109.0,0.0,0.0,,0.0,0.0,1.0,33.0,84.0,12.0,17.0,4.0,4.0,46.0,98.0,1.0,2.0,2.0,5.0,Martin Bravo,Martin,Bravo,El Toro,68.0,145.0,71.0,Southpaw,11,3,0,1993-09-21,0.0,86.0,199.0,0.43,93.0,206.0,2.0,5.0,0.4,0.0,0.0,38.0,60.0,157.0,20.0,33.0,6.0,9.0,85.0,198.0,1.0,1.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Bantamweight,Jose Quinonez,Carlos Huachin,U-DEC,,3,300,Jose Quinonez,Jose,Quinonez,Teco,68.0,135.0,69.0,Southpaw,9,5,0,1990-07-28,1.0,60.0,117.0,0.51,71.0,130.0,2.0,5.0,0.4,0.0,0.0,253.0,36.0,80.0,8.0,13.0,16.0,24.0,40.0,92.0,0.0,1.0,20.0,24.0,Carlos Huachin,Carlos,Huachin,Perro Malo,64.0,135.0,67.0,Southpaw,10,5,1,1996-06-04,0.0,32.0,115.0,0.27,37.0,121.0,0.0,0.0,,0.0,0.0,0.0,22.0,84.0,6.0,25.0,4.0,6.0,30.0,109.0,0.0,2.0,2.0,4.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Featherweight,Kyle Nelson,Marco Polo Reyes,KO/TKO,Punch,1,96,Kyle Nelson,Kyle,Nelson,The Monster,71.0,155.0,71.0,Switch,13,4,0,1991-04-20,0.0,12.0,16.0,0.75,12.0,16.0,0.0,2.0,0.0,0.0,0.0,50.0,8.0,12.0,4.0,4.0,0.0,0.0,2.0,3.0,10.0,13.0,0.0,0.0,Marco Polo Reyes,Marco Polo,Reyes,,71.0,155.0,71.0,Orthodox,8,7,0,1984-11-07,0.0,6.0,10.0,0.6,7.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,5.0,6.0,1.0,1.0,3.0,7.0,3.0,3.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Women's Strawweight,Angela Hill,Ariane Carnelossi,KO/TKO,Elbow,3,116,Angela Hill,Angela,Hill,Overkill,63.0,115.0,64.0,Orthodox,13,10,0,1985-01-12,0.0,92.0,184.0,0.5,93.0,185.0,0.0,0.0,,0.0,0.0,59.0,60.0,137.0,32.0,46.0,0.0,1.0,57.0,139.0,35.0,45.0,0.0,0.0,Ariane Carnelossi,Ariane,Carnelossi,Sorriso,62.0,115.0,61.0,Orthodox,14,2,0,1992-11-17,0.0,72.0,186.0,0.38,83.0,197.0,0.0,1.0,0.0,0.0,0.0,38.0,36.0,137.0,15.0,26.0,21.0,23.0,57.0,156.0,15.0,30.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Flyweight,Sergio Pettis,Tyson Nam,U-DEC,,3,300,Sergio Pettis,Sergio,Pettis,,66.0,125.0,69.0,Orthodox,18,5,0,1993-08-18,0.0,96.0,253.0,0.37,96.0,253.0,0.0,0.0,,0.0,0.0,2.0,76.0,224.0,5.0,13.0,15.0,16.0,90.0,245.0,5.0,7.0,1.0,1.0,Tyson Nam,Tyson,Nam,,67.0,125.0,68.0,Orthodox,20,12,1,1983-10-06,0.0,40.0,170.0,0.23,43.0,173.0,0.0,0.0,,0.0,0.0,46.0,28.0,149.0,7.0,15.0,5.0,6.0,38.0,164.0,2.0,6.0,0.0,0.0
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,Light Heavyweight,Paul Craig,Vinicius Moreira,SUB,Rear Naked Choke,1,199,Paul Craig,Paul,Craig,Bearjew,75.0,205.0,76.0,Orthodox,15,4,1,1987-11-27,1.0,18.0,27.0,0.66,33.0,43.0,1.0,1.0,1.0,1.0,0.0,128.0,16.0,25.0,2.0,2.0,0.0,0.0,1.0,3.0,6.0,6.0,11.0,18.0,Vinicius Moreira,Vinicius,Moreira,Mamute,76.0,205.0,76.0,Orthodox,9,5,0,1989-02-28,0.0,1.0,3.0,0.33,1.0,3.0,0.0,0.0,,0.0,0.0,51.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
