Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Zhang Weili,Jessica Andrade,Women's Strawweight,Zhang Weili,Jessica Andrade,KO/TKO,Punch,1,42,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Li Jingliang,Elizeu Zaleski dos Santos,Welterweight,Li Jingliang,Elizeu Zaleski dos Santos,KO/TKO,Punches,3,291,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Kai Kara-France,Mark De La Rosa,Flyweight,Kai Kara-France,Mark De La Rosa,U-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Song Kenan,Derrick Krantz,Welterweight,Song Kenan,Derrick Krantz,U-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Inoue Mizuki,Wu Yanan,Women's Flyweight,Inoue Mizuki,Wu Yanan,S-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Anthony Hernandez,Junyong Park,Middleweight,Anthony Hernandez,Junyong Park,SUB,Anaconda Choke,2,279,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Sumudaerji,Andre Soukhamthath,Bantamweight,Sumudaerji,Andre Soukhamthath,U-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Da-Un Jung,Khadis Ibragimov,Light Heavyweight,Da-Un Jung,Khadis Ibragimov,SUB,Guillotine Choke,3,119,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Damir Ismagulov,Thiago Moises,Lightweight,Damir Ismagulov,Thiago Moises,U-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Alatengheili,Danaa Batgerel,Bantamweight,Alatengheili,Danaa Batgerel,U-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Karol Rosa,Lara Procopio,Women's Bantamweight,Karol Rosa,Lara Procopio,S-DEC,,3,300,UFC Fight Night: Andrade vs. Zhang,2019-08-31
Stipe Miocic,Daniel Cormier,Heavyweight,Stipe Miocic,Daniel Cormier,KO/TKO,Punches,4,249,UFC 241: Cormier vs. Miocic 2,2019-08-17
Nate Diaz,Anthony Pettis,Welterweight,Nate Diaz,Anthony Pettis,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Paulo Costa,Yoel Romero,Middleweight,Paulo Costa,Yoel Romero,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Sodiq Yusuff,Gabriel Benitez,Featherweight,Sodiq Yusuff,Gabriel Benitez,KO/TKO,Punch,1,254,UFC 241: Cormier vs. Miocic 2,2019-08-17
Derek Brunson,Ian Heinisch,Middleweight,Derek Brunson,Ian Heinisch,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Khama Worthy,Devonte Smith,Lightweight,Khama Worthy,Devonte Smith,KO/TKO,Punch,1,255,UFC 241: Cormier vs. Miocic 2,2019-08-17
Cory Sandhagen,Raphael Assuncao,Bantamweight,Cory Sandhagen,Raphael Assuncao,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Drakkar Klose,Christos Giagos,Lightweight,Drakkar Klose,Christos Giagos,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Casey Kenney,Manny Bermudez,Catch Weight,Casey Kenney,Manny Bermudez,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Hannah Cifers,Jodie Esquibel,Women's Strawweight,Hannah Cifers,Jodie Esquibel,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Kyung Ho Kang,Brandon Davis,Bantamweight,Kyung Ho Kang,Brandon Davis,S-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Sabina Mazo,Shana Dobson,Women's Flyweight,Sabina Mazo,Shana Dobson,U-DEC,,3,300,UFC 241: Cormier vs. Miocic 2,2019-08-17
Valentina Shevchenko,Liz Carmouche,Women's Flyweight,Valentina Shevchenko,Liz Carmouche,U-DEC,,5,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Vicente Luque,Mike Perry,Welterweight,Vicente Luque,Mike Perry,S-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Eduardo Garagorri,Humberto Bandenay,Featherweight,Eduardo Garagorri,Humberto Bandenay,U-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Volkan Oezdemir,Ilir Latifi,Light Heavyweight,Volkan Oezdemir,Ilir Latifi,KO/TKO,Punch,2,271,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Rodolfo Vieira,Oskar Piechota,Middleweight,Rodolfo Vieira,Oskar Piechota,SUB,Arm Triangle,2,266,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Enrique Barzola,Bobby Moffett,Featherweight,Enrique Barzola,Bobby Moffett,S-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Gilbert Burns,Aleksei Kunchenko,Welterweight,Gilbert Burns,Aleksei Kunchenko,U-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Ciryl Gane,Raphael Pessoa,Heavyweight,Ciryl Gane,Raphael Pessoa,SUB,Arm Triangle,1,252,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Marina Rodriguez,Tecia Torres,Women's Strawweight,Marina Rodriguez,Tecia Torres,U-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Rogerio Bontorin,Raulian Paiva,Flyweight,Rogerio Bontorin,Raulian Paiva,KO/TKO,,1,176,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Chris Gutierrez,Geraldo de Freitas,Bantamweight,Chris Gutierrez,Geraldo de Freitas,S-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Alex Da Silva,Kazula Vargas,Lightweight,Alex Da Silva,Kazula Vargas,U-DEC,,3,300,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Veronica Macedo,Polyana Viana,Women's Flyweight,Veronica Macedo,Polyana Viana,SUB,Armbar,1,69,UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10
Colby Covington,Robbie Lawler,Welterweight,Colby Covington,Robbie Lawler,U-DEC,,5,300,UFC Fight Night: Covington vs. Lawler,2019-08-03
Jim Miller,Clay Guida,Lightweight,Jim Miller,Clay Guida,SUB,Guillotine Choke,1,58,UFC Fight Night: Covington vs. Lawler,2019-08-03
Nasrat Haqparast,Joaquim Silva,Lightweight,Nasrat Haqparast,Joaquim Silva,KO/TKO,Punch,2,36,UFC Fight Night: Covington vs. Lawler,2019-08-03
Gerald Meerschaert,Trevin Giles,Middleweight,Gerald Meerschaert,Trevin Giles,SUB,Guillotine Choke,3,109,UFC Fight Night: Covington vs. Lawler,2019-08-03
Scott Holtzman,Dong Hyun Ma,Lightweight,Scott Holtzman,Dong Hyun Ma,KO/TKO,,2,300,UFC Fight Night: Covington vs. Lawler,2019-08-03
Kennedy Nzechukwu,Darko Stosic,Light Heavyweight,Kennedy Nzechukwu,Darko Stosic,U-DEC,,3,300,UFC Fight Night: Covington vs. Lawler,2019-08-03
Mickey Gall,Salim Touahri,Welterweight,Mickey Gall,Salim Touahri,U-DEC,,3,300,UFC Fight Night: Covington vs. Lawler,2019-08-03
Antonina Shevchenko,Lucie Pudilova,Women's Flyweight,Antonina Shevchenko,Lucie Pudilova,SUB,Rear Naked Choke,2,80,UFC Fight Night: Covington vs. Lawler,2019-08-03
Matt Schnell,Jordan Espinosa,Flyweight,Matt Schnell,Jordan Espinosa,SUB,Triangle Choke,1,83,UFC Fight Night: Covington vs. Lawler,2019-08-03
Lauren Murphy,Mara Romero Borella,Women's Flyweight,Lauren Murphy,Mara Romero Borella,KO/TKO,Knee,3,106,UFC Fight Night: Covington vs. Lawler,2019-08-03
Claudio Silva,Cole Williams,Welterweight,Claudio Silva,Cole Williams,SUB,Neck Crank,1,155,UFC Fight Night: Covington vs. Lawler,2019-08-03
Miranda Granger,Hannah Goldy,Women's Flyweight,Miranda Granger,Hannah Goldy,U-DEC,,3,300,UFC Fight Night: Covington vs. Lawler,2019-08-03
Max Holloway,Frankie Edgar,Featherweight,Max Holloway,Frankie Edgar,U-DEC,,5,300,UFC 240: Holloway vs. Edgar,2019-07-27
Cristiane Justino,Felicia Spencer,Women's Featherweight,Cristiane Justino,Felicia Spencer,U-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Geoff Neal,Niko Price,Welterweight,Geoff Neal,Niko Price,KO/TKO,Punches,2,159,UFC 240: Holloway vs. Edgar,2019-07-27
Arman Tsarukyan,Olivier Aubin-Mercier,Lightweight,Arman Tsarukyan,Olivier Aubin-Mercier,U-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Krzysztof Jotko,Marc-Andre Barriault,Middleweight,Krzysztof Jotko,Marc-Andre Barriault,S-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Viviane Araujo,Alexis Davis,Women's Flyweight,Viviane Araujo,Alexis Davis,U-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Hakeem Dawodu,Yoshinori Horie,Featherweight,Hakeem Dawodu,Yoshinori Horie,KO/TKO,Kick,3,249,UFC 240: Holloway vs. Edgar,2019-07-27
Gavin Tucker,SeungWoo Choi,Featherweight,Gavin Tucker,SeungWoo Choi,SUB,Rear Naked Choke,3,197,UFC 240: Holloway vs. Edgar,2019-07-27
Deiveson Figueiredo,Alexandre Pantoja,Flyweight,Deiveson Figueiredo,Alexandre Pantoja,U-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Gillian Robertson,Sarah Frota,Women's Flyweight,Gillian Robertson,Sarah Frota,KO/TKO,Elbows,2,253,UFC 240: Holloway vs. Edgar,2019-07-27
Erik Koch,Kyle Stewart,Welterweight,Erik Koch,Kyle Stewart,U-DEC,,3,300,UFC 240: Holloway vs. Edgar,2019-07-27
Leon Edwards,Rafael Dos Anjos,Welterweight,Leon Edwards,Rafael Dos Anjos,U-DEC,,5,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Walt Harris,Aleksei Oleinik,Heavyweight,Walt Harris,Aleksei Oleinik,KO/TKO,Punch,1,12,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Greg Hardy,Juan Adams,Heavyweight,Greg Hardy,Juan Adams,KO/TKO,Punches,1,45,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Dan Hooker,James Vick,Lightweight,Dan Hooker,James Vick,KO/TKO,Punch,1,153,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Alexander Hernandez,Francisco Trinaldo,Lightweight,Alexander Hernandez,Francisco Trinaldo,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Andrei Arlovski,Ben Rothwell,Heavyweight,Andrei Arlovski,Ben Rothwell,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Alex Caceres,Steven Peterson,Featherweight,Alex Caceres,Steven Peterson,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Raquel Pennington,Irene Aldana,Women's Bantamweight,Raquel Pennington,Irene Aldana,S-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Klidson Abreu,Sam Alvey,Light Heavyweight,Klidson Abreu,Sam Alvey,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Jennifer Maia,Roxanne Modafferi,Women's Flyweight,Jennifer Maia,Roxanne Modafferi,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Ray Borg,Gabriel Silva,Bantamweight,Ray Borg,Gabriel Silva,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Mario Bautista,Jin Soo Son,Bantamweight,Mario Bautista,Jin Soo Son,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Felipe Colares,Domingo Pilarte,Bantamweight,Felipe Colares,Domingo Pilarte,S-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20
Germaine de Randamie,Aspen Ladd,Women's Bantamweight,Germaine de Randamie,Aspen Ladd,KO/TKO,Punch,1,16,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Urijah Faber,Ricky Simon,Bantamweight,Urijah Faber,Ricky Simon,KO/TKO,Punch,1,46,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Josh Emmett,Mirsad Bektic,Featherweight,Josh Emmett,Mirsad Bektic,KO/TKO,Punches,1,265,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Karl Roberson,Wellington Turman,Middleweight,Karl Roberson,Wellington Turman,S-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Marvin Vettori,Cezar Ferreira,Middleweight,Marvin Vettori,Cezar Ferreira,U-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Mike Rodriguez,John Allan,Light Heavyweight,NO CONTEST,NO CONTEST,Overturned,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Andre Fili,Sheymon Moraes,Featherweight,Andre Fili,Sheymon Moraes,KO/TKO,Punch,1,187,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Julianna Pena,Nicco Montano,Women's Bantamweight,Julianna Pena,Nicco Montano,U-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Ryan Hall,Darren Elkins,Featherweight,Ryan Hall,Darren Elkins,U-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Jonathan Martinez,Pingyuan Liu,Bantamweight,Jonathan Martinez,Pingyuan Liu,KO/TKO,Knee,3,234,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Brianna Van Buren,Livinha Souza,Women's Strawweight,Brianna Van Buren,Livinha Souza,U-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Benito Lopez,Vince Morales,Bantamweight,Benito Lopez,Vince Morales,U-DEC,,3,300,UFC Fight Night: De Randamie vs. Ladd,2019-07-13
Jon Jones,Thiago Santos,Light Heavyweight,Jon Jones,Thiago Santos,S-DEC,,5,300,UFC 239: Jones vs. Santos,2019-07-06
Amanda Nunes,Holly Holm,Women's Bantamweight,Amanda Nunes,Holly Holm,KO/TKO,Kick,1,250,UFC 239: Jones vs. Santos,2019-07-06
Jorge Masvidal,Ben Askren,Welterweight,Jorge Masvidal,Ben Askren,KO/TKO,Flying Knee,1,5,UFC 239: Jones vs. Santos,2019-07-06
Jan Blachowicz,Luke Rockhold,Light Heavyweight,Jan Blachowicz,Luke Rockhold,KO/TKO,Punch,2,99,UFC 239: Jones vs. Santos,2019-07-06
Michael Chiesa,Diego Sanchez,Welterweight,Michael Chiesa,Diego Sanchez,U-DEC,,3,300,UFC 239: Jones vs. Santos,2019-07-06
Arnold Allen,Gilbert Melendez,Featherweight,Arnold Allen,Gilbert Melendez,U-DEC,,3,300,UFC 239: Jones vs. Santos,2019-07-06
Marlon Vera,Nohelin Hernandez,Bantamweight,Marlon Vera,Nohelin Hernandez,SUB,Rear Naked Choke,2,205,UFC 239: Jones vs. Santos,2019-07-06
Claudia Gadelha,Randa Markos,Women's Strawweight,Claudia Gadelha,Randa Markos,U-DEC,,3,300,UFC 239: Jones vs. Santos,2019-07-06
Song Yadong,Alejandro Perez,Bantamweight,Song Yadong,Alejandro Perez,KO/TKO,Punch,1,124,UFC 239: Jones vs. Santos,2019-07-06
Edmen Shahbazyan,Jack Marshman,Middleweight,Edmen Shahbazyan,Jack Marshman,SUB,Rear Naked Choke,1,72,UFC 239: Jones vs. Santos,2019-07-06
Chance Rencountre,Ismail Naurdiev,Welterweight,Chance Rencountre,Ismail Naurdiev,U-DEC,,3,300,UFC 239: Jones vs. Santos,2019-07-06
Julia Avila,Pannie Kianzad,Women's Bantamweight,Julia Avila,Pannie Kianzad,U-DEC,,3,300,UFC 239: Jones vs. Santos,2019-07-06
Francis Ngannou,Junior Dos Santos,Heavyweight,Francis Ngannou,Junior Dos Santos,KO/TKO,Punch,1,71,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Joseph Benavidez,Jussier Formiga,Flyweight,Joseph Benavidez,Jussier Formiga,KO/TKO,Punches,2,287,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Demian Maia,Anthony Rocco Martin,Welterweight,Demian Maia,Anthony Rocco Martin,M-DEC,,3,300,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Vinc Pichel,Roosevelt Roberts,Lightweight,Vinc Pichel,Roosevelt Roberts,U-DEC,,3,300,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Drew Dober,Marco Polo Reyes,Lightweight,Drew Dober,Marco Polo Reyes,KO/TKO,Punches,1,67,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Alonzo Menifield,Paul Craig,Light Heavyweight,Alonzo Menifield,Paul Craig,KO/TKO,Punch,1,199,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Ricardo Ramos,Journey Newson,Bantamweight,Ricardo Ramos,Journey Newson,U-DEC,,3,300,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Eryk Anders,Vinicius Moreira,Light Heavyweight,Eryk Anders,Vinicius Moreira,KO/TKO,Punch,1,78,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Jared Gordon,Dan Moret,Lightweight,Jared Gordon,Dan Moret,U-DEC,,3,300,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Dalcha Lungiambula,Dequan Townsend,Light Heavyweight,Dalcha Lungiambula,Dequan Townsend,KO/TKO,Punch,3,42,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Amanda Ribas,Emily Whitmire,Women's Strawweight,Amanda Ribas,Emily Whitmire,SUB,Rear Naked Choke,2,130,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Maurice Greene,Junior Albini,Heavyweight,Maurice Greene,Junior Albini,KO/TKO,Punch,1,218,UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29
Chan Sung Jung,Renato Moicano,Featherweight,Chan Sung Jung,Renato Moicano,KO/TKO,Punch,1,58,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Randy Brown,Bryan Barberena,Welterweight,Randy Brown,Bryan Barberena,KO/TKO,Kick,3,174,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Andre Ewell,Anderson Dos Santos,Bantamweight,Andre Ewell,Anderson Dos Santos,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Andrea Lee,Montana De La Rosa,Women's Flyweight,Andrea Lee,Montana De La Rosa,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Kevin Holland,Alessio Di Chirico,Middleweight,Kevin Holland,Alessio Di Chirico,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Dan Ige,Kevin Aguilar,Featherweight,Dan Ige,Kevin Aguilar,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Ashley Yoder,Syuri Kondo,Women's Strawweight,Ashley Yoder,Syuri Kondo,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Luis Pena,Matt Wiman,Lightweight,Luis Pena,Matt Wiman,KO/TKO,Punches,3,74,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Jairzinho Rozenstruik,Allen Crowder,Heavyweight,Jairzinho Rozenstruik,Allen Crowder,KO/TKO,Punches,1,9,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Molly McCann,Ariane Lipski,Women's Flyweight,Molly McCann,Ariane Lipski,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Deron Winn,Eric Spicely,Middleweight,Deron Winn,Eric Spicely,U-DEC,,3,300,UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22
Henry Cejudo,Marlon Moraes,Bantamweight,Henry Cejudo,Marlon Moraes,KO/TKO,Punches,3,291,UFC 238: Cejudo vs. Moraes,2019-06-08
Valentina Shevchenko,Jessica Eye,Women's Flyweight,Valentina Shevchenko,Jessica Eye,KO/TKO,Kick,2,26,UFC 238: Cejudo vs. Moraes,2019-06-08
Tony Ferguson,Donald Cerrone,Lightweight,Tony Ferguson,Donald Cerrone,KO/TKO,,2,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Petr Yan,Jimmie Rivera,Bantamweight,Petr Yan,Jimmie Rivera,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Blagoy Ivanov,Tai Tuivasa,Heavyweight,Blagoy Ivanov,Tai Tuivasa,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Tatiana Suarez,Nina Nunes,Women's Strawweight,Tatiana Suarez,Nina Nunes,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Aljamain Sterling,Pedro Munhoz,Bantamweight,Aljamain Sterling,Pedro Munhoz,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Alexa Grasso,Karolina Kowalkiewicz,Women's Strawweight,Alexa Grasso,Karolina Kowalkiewicz,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Calvin Kattar,Ricardo Lamas,Featherweight,Calvin Kattar,Ricardo Lamas,KO/TKO,Punch,1,246,UFC 238: Cejudo vs. Moraes,2019-06-08
Yan Xiaonan,Angela Hill,Women's Strawweight,Yan Xiaonan,Angela Hill,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Darren Stewart,Bevon Lewis,Middleweight,Darren Stewart,Bevon Lewis,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Eddie Wineland,Grigory Popov,Bantamweight,Eddie Wineland,Grigory Popov,KO/TKO,Punch,2,287,UFC 238: Cejudo vs. Moraes,2019-06-08
Katlyn Chookagian,Joanne Calderwood,Women's Flyweight,Katlyn Chookagian,Joanne Calderwood,U-DEC,,3,300,UFC 238: Cejudo vs. Moraes,2019-06-08
Anthony Smith,Alexander Gustafsson,Light Heavyweight,Anthony Smith,Alexander Gustafsson,SUB,Rear Naked Choke,4,158,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Aleksandar Rakic,Jimi Manuwa,Light Heavyweight,Aleksandar Rakic,Jimi Manuwa,KO/TKO,Kick,1,47,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Makwan Amirkhani,Chris Fishgold,Featherweight,Makwan Amirkhani,Chris Fishgold,SUB,Anaconda Choke,2,265,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Christos Giagos,Damir Hadzovic,Lightweight,Christos Giagos,Damir Hadzovic,U-DEC,,3,300,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Daniel Teymur,Sung Bin Jo,Featherweight,Daniel Teymur,Sung Bin Jo,U-DEC,,3,300,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Sergey Khandozhko,Rostem Akman,Welterweight,Sergey Khandozhko,Rostem Akman,U-DEC,,3,300,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Lina Lansberg,Tonya Evinger,Women's Bantamweight,Lina Lansberg,Tonya Evinger,U-DEC,,3,300,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Leonardo Santos,Stevie Ray,Lightweight,Leonardo Santos,Stevie Ray,KO/TKO,Punch,1,137,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Frank Camacho,Nick Hein,Lightweight,Frank Camacho,Nick Hein,KO/TKO,Punches,2,296,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Bea Malecki,Duda Santana,Women's Bantamweight,Bea Malecki,Duda Santana,SUB,Rear Naked Choke,2,119,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Devin Clark,Darko Stosic,Light Heavyweight,Devin Clark,Darko Stosic,U-DEC,,3,300,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Joel Alvarez,Danilo Belluardo,Lightweight,Joel Alvarez,Danilo Belluardo,KO/TKO,Punches,2,142,UFC Fight Night: Gustafsson vs. Smith,2019-06-01
Rafael Dos Anjos,Kevin Lee,Welterweight,Rafael Dos Anjos,Kevin Lee,SUB,Arm Triangle,4,227,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Ian Heinisch,Antonio Carlos Junior,Middleweight,Ian Heinisch,Antonio Carlos Junior,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Felicia Spencer,Megan Anderson,Women's Featherweight,Felicia Spencer,Megan Anderson,SUB,Rear Naked Choke,1,204,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Vicente Luque,Derrick Krantz,Welterweight,Vicente Luque,Derrick Krantz,KO/TKO,Punch,1,232,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Charles Oliveira,Nik Lentz,Lightweight,Charles Oliveira,Nik Lentz,KO/TKO,Punch,2,131,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Davi Ramos,Austin Hubbard,Lightweight,Davi Ramos,Austin Hubbard,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Aspen Ladd,Sijara Eubanks,Women's Bantamweight,Aspen Ladd,Sijara Eubanks,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Desmond Green,Charles Jourdain,Lightweight,Desmond Green,Charles Jourdain,U-DEC,,3,300,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Michel Pereira,Danny Roberts,Welterweight,Michel Pereira,Danny Roberts,KO/TKO,Flying Knee,1,107,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Grant Dawson,Michael Trizano,Featherweight,Grant Dawson,Michael Trizano,SUB,Rear Naked Choke,2,147,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Ed Herman,Patrick Cummins,Light Heavyweight,Ed Herman,Patrick Cummins,KO/TKO,Knee,1,219,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Zak Cummings,Trevin Giles,Middleweight,Zak Cummings,Trevin Giles,SUB,Guillotine Choke,3,241,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Julio Arce,Julian Erosa,Featherweight,Julio Arce,Julian Erosa,KO/TKO,Kick,3,109,UFC Fight Night: Dos Anjos vs. Lee,2019-05-18
Jessica Andrade,Rose Namajunas,Women's Strawweight,Jessica Andrade,Rose Namajunas,KO/TKO,Slam,2,178,UFC 237: Namajunas vs. Andrade,2019-05-11
Jared Cannonier,Anderson Silva,Middleweight,Jared Cannonier,Anderson Silva,KO/TKO,Kick,1,287,UFC 237: Namajunas vs. Andrade,2019-05-11
Alexander Volkanovski,Jose Aldo,Featherweight,Alexander Volkanovski,Jose Aldo,U-DEC,,3,300,UFC 237: Namajunas vs. Andrade,2019-05-11
Laureano Staropoli,Thiago Alves,Welterweight,Laureano Staropoli,Thiago Alves,U-DEC,,3,300,UFC 237: Namajunas vs. Andrade,2019-05-11
Irene Aldana,Bethe Correia,Women's Bantamweight,Irene Aldana,Bethe Correia,SUB,Armbar,3,204,UFC 237: Namajunas vs. Andrade,2019-05-11
Ryan Spann,Rogerio Nogueira,Light Heavyweight,Ryan Spann,Rogerio Nogueira,KO/TKO,Punch,1,127,UFC 237: Namajunas vs. Andrade,2019-05-11
Thiago Moises,Kurt Holobaugh,Lightweight,Thiago Moises,Kurt Holobaugh,U-DEC,,3,300,UFC 237: Namajunas vs. Andrade,2019-05-11
