Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Ariane Carnelossi,Istela Nunes,Women's Strawweight,Ariane Carnelossi,Istela Nunes,SUB,Rear Naked Choke,3,177,UFC Fight Night: Ladd vs. Dumont,2021-10-16
Marina Rodriguez,Mackenzie Dern,Women's Strawweight,Marina Rodriguez,Mackenzie Dern,U-DEC,,5,300,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Randy Brown,Jared Gooden,Welterweight,Randy Brown,Jared Gooden,U-DEC,,3,300,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Matheus Nicolau,Tim Elliott,Flyweight,Matheus Nicolau,Tim Elliott,U-DEC,,3,300,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Mariya Agapova,Sabina Mazo,Women's Flyweight,Mariya Agapova,Sabina Mazo,SUB,Rear Naked Choke,3,53,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Chris Gutierrez,Felipe Colares,Bantamweight,Chris Gutierrez,Felipe Colares,S-DEC,,3,300,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Alexandr Romanov,Jared Vanderaa,Heavyweight,Alexandr Romanov,Jared Vanderaa,KO/TKO,Punches,2,283,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Damon Jackson,Charles Rosa,Featherweight,Damon Jackson,Charles Rosa,U-DEC,,3,300,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Loopy Godinez,Silvana Gomez Juarez,Women's Strawweight,Loopy Godinez,Silvana Gomez Juarez,SUB,Armbar,1,254,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Steve Garcia,Charlie Ontiveros,Lightweight,Steve Garcia,Charlie Ontiveros,KO/TKO,Punches,2,111,UFC Fight Night: Dern vs. Rodriguez,2021-10-09
Thiago Santos,Johnny Walker,Light Heavyweight,Thiago Santos,Johnny Walker,U-DEC,,5,300,UFC Fight Night: Santos vs. Walker,2021-10-02
Kevin Holland,Kyle Daukaus,Middleweight,NO CONTEST,NO CONTEST,Other,,1,223,UFC Fight Night: Santos vs. Walker,2021-10-02
Niko Price,Alex Oliveira,Welterweight,Niko Price,Alex Oliveira,U-DEC,,3,300,UFC Fight Night: Santos vs. Walker,2021-10-02
Krzysztof Jotko,Misha Cirkunov,Middleweight,Krzysztof Jotko,Misha Cirkunov,S-DEC,,3,300,UFC Fight Night: Santos vs. Walker,2021-10-02
Alexander Hernandez,Mike Breeden,Lightweight,Alexander Hernandez,Mike Breeden,KO/TKO,Punch,1,80,UFC Fight Night: Santos vs. Walker,2021-10-02
Jared Gordon,Joe Solecki,Lightweight,Jared Gordon,Joe Solecki,S-DEC,,3,300,UFC Fight Night: Santos vs. Walker,2021-10-02
Casey O'Neill,Antonina Shevchenko,Women's Flyweight,Casey O'Neill,Antonina Shevchenko,KO/TKO,Punches,2,287,UFC Fight Night: Santos vs. Walker,2021-10-02
Karol Rosa,Bethe Correia,Women's Bantamweight,Karol Rosa,Bethe Correia,U-DEC,,3,300,UFC Fight Night: Santos vs. Walker,2021-10-02
Jamie Mullarkey,Devonte Smith,Lightweight,Jamie Mullarkey,Devonte Smith,KO/TKO,Punches,2,171,UFC Fight Night: Santos vs. Walker,2021-10-02
Douglas Silva de Andrade,Gaetano Pirrello,Bantamweight,Douglas Silva de Andrade,Gaetano Pirrello,KO/TKO,Punch,1,124,UFC Fight Night: Santos vs. Walker,2021-10-02
Stephanie Egger,Shanna Young,Women's Bantamweight,Stephanie Egger,Shanna Young,KO/TKO,Elbow,2,142,UFC Fight Night: Santos vs. Walker,2021-10-02
Alejandro Perez,Johnny Eduardo,Bantamweight,Alejandro Perez,Johnny Eduardo,SUB,Armbar,2,253,UFC Fight Night: Santos vs. Walker,2021-10-02
Alexander Volkanovski,Brian Ortega,Featherweight,Alexander Volkanovski,Brian Ortega,U-DEC,,5,300,UFC 266: Volkanovski vs. Ortega,2021-09-25
Valentina Shevchenko,Lauren Murphy,Women's Flyweight,Valentina Shevchenko,Lauren Murphy,KO/TKO,Punches,4,240,UFC 266: Volkanovski vs. Ortega,2021-09-25
Robbie Lawler,Nick Diaz,Middleweight,Robbie Lawler,Nick Diaz,KO/TKO,Punch,3,44,UFC 266: Volkanovski vs. Ortega,2021-09-25
Curtis Blaydes,Jairzinho Rozenstruik,Heavyweight,Curtis Blaydes,Jairzinho Rozenstruik,U-DEC,,3,300,UFC 266: Volkanovski vs. Ortega,2021-09-25
Jessica Andrade,Cynthia Calvillo,Women's Flyweight,Jessica Andrade,Cynthia Calvillo,KO/TKO,Punches,1,294,UFC 266: Volkanovski vs. Ortega,2021-09-25
Merab Dvalishvili,Marlon Moraes,Bantamweight,Merab Dvalishvili,Marlon Moraes,KO/TKO,Punches,2,265,UFC 266: Volkanovski vs. Ortega,2021-09-25
Dan Hooker,Nasrat Haqparast,Lightweight,Dan Hooker,Nasrat Haqparast,U-DEC,,3,300,UFC 266: Volkanovski vs. Ortega,2021-09-25
Chris Daukaus,Shamil Abdurakhimov,Heavyweight,Chris Daukaus,Shamil Abdurakhimov,KO/TKO,Punch,2,83,UFC 266: Volkanovski vs. Ortega,2021-09-25
Taila Santos,Roxanne Modafferi,Women's Flyweight,Taila Santos,Roxanne Modafferi,U-DEC,,3,300,UFC 266: Volkanovski vs. Ortega,2021-09-25
Jalin Turner,Uros Medic,Lightweight,Jalin Turner,Uros Medic,SUB,Rear Naked Choke,1,241,UFC 266: Volkanovski vs. Ortega,2021-09-25
Nick Maximov,Cody Brundage,Middleweight,Nick Maximov,Cody Brundage,U-DEC,,3,300,UFC 266: Volkanovski vs. Ortega,2021-09-25
Matthew Semelsberger,Martin Sano,Welterweight,Matthew Semelsberger,Martin Sano,KO/TKO,Punch,1,15,UFC 266: Volkanovski vs. Ortega,2021-09-25
Jonathan Pearce,Omar Morales,Featherweight,Jonathan Pearce,Omar Morales,SUB,Rear Naked Choke,2,211,UFC 266: Volkanovski vs. Ortega,2021-09-25
Anthony Smith,Ryan Spann,Light Heavyweight,Anthony Smith,Ryan Spann,SUB,Rear Naked Choke,1,227,UFC Fight Night: Smith vs. Spann,2021-09-18
Ion Cutelaba,Devin Clark,Light Heavyweight,Ion Cutelaba,Devin Clark,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Ariane Lipski,Mandy Bohm,Women's Flyweight,Ariane Lipski,Mandy Bohm,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Arman Tsarukyan,Christos Giagos,Lightweight,Arman Tsarukyan,Christos Giagos,KO/TKO,Punches,1,129,UFC Fight Night: Smith vs. Spann,2021-09-18
Nate Maness,Tony Gravely,Bantamweight,Nate Maness,Tony Gravely,KO/TKO,Punches,2,130,UFC Fight Night: Smith vs. Spann,2021-09-18
Joaquin Buckley,Antonio Arroyo,Middleweight,Joaquin Buckley,Antonio Arroyo,KO/TKO,Punches,3,146,UFC Fight Night: Smith vs. Spann,2021-09-18
Tafon Nchukwi,Mike Rodriguez,Light Heavyweight,Tafon Nchukwi,Mike Rodriguez,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Raquel Pennington,Pannie Kianzad,Women's Bantamweight,Raquel Pennington,Pannie Kianzad,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Rong Zhu,Brandon Jenkins,Lightweight,Rong Zhu,Brandon Jenkins,KO/TKO,Punches,3,275,UFC Fight Night: Smith vs. Spann,2021-09-18
Montel Jackson,JP Buys,Bantamweight,Montel Jackson,JP Buys,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Erin Blanchfield,Sarah Alpar,Women's Flyweight,Erin Blanchfield,Sarah Alpar,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Carlston Harris,Impa Kasanganay,Welterweight,Carlston Harris,Impa Kasanganay,KO/TKO,Punches,1,158,UFC Fight Night: Smith vs. Spann,2021-09-18
Gustavo Lopez,Alatengheili,Bantamweight,DRAW,DRAW,U-DEC,,3,300,UFC Fight Night: Smith vs. Spann,2021-09-18
Hannah Goldy,Emily Whitmire,Women's Flyweight,Hannah Goldy,Emily Whitmire,SUB,Armbar,1,257,UFC Fight Night: Smith vs. Spann,2021-09-18
Derek Brunson,Darren Till,Middleweight,Derek Brunson,Darren Till,SUB,Rear Naked Choke,3,133,UFC Fight Night: Brunson vs. Till,2021-09-04
Tom Aspinall,Serghei Spivac,Heavyweight,Tom Aspinall,Serghei Spivac,KO/TKO,Elbow,1,150,UFC Fight Night: Brunson vs. Till,2021-09-04
Alex Morono,David Zawada,Welterweight,Alex Morono,David Zawada,U-DEC,,3,300,UFC Fight Night: Brunson vs. Till,2021-09-04
Khalil Rountree Jr.,Modestas Bukauskas,Light Heavyweight,Khalil Rountree Jr.,Modestas Bukauskas,KO/TKO,Kick,2,150,UFC Fight Night: Brunson vs. Till,2021-09-04
Paddy Pimblett,Luigi Vendramini,Lightweight,Paddy Pimblett,Luigi Vendramini,KO/TKO,Punches,1,265,UFC Fight Night: Brunson vs. Till,2021-09-04
Molly McCann,Ji Yeon Kim,Women's Flyweight,Molly McCann,Ji Yeon Kim,U-DEC,,3,300,UFC Fight Night: Brunson vs. Till,2021-09-04
Jack Shore,Liudvik Sholinian,Bantamweight,Jack Shore,Liudvik Sholinian,U-DEC,,3,300,UFC Fight Night: Brunson vs. Till,2021-09-04
Julian Erosa,Charles Jourdain,Catch Weight,Julian Erosa,Charles Jourdain,SUB,D'Arce Choke,3,176,UFC Fight Night: Brunson vs. Till,2021-09-04
Marc-Andre Barriault,Dalcha Lungiambula,Middleweight,Marc-Andre Barriault,Dalcha Lungiambula,U-DEC,,3,300,UFC Fight Night: Brunson vs. Till,2021-09-04
Giga Chikadze,Edson Barboza,Featherweight,Giga Chikadze,Edson Barboza,KO/TKO,Punch,3,104,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Bryan Battle,Gilbert Urbina,Middleweight,Bryan Battle,Gilbert Urbina,SUB,Rear Naked Choke,2,135,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Ricky Turcios,Brady Hiestand,Bantamweight,Ricky Turcios,Brady Hiestand,S-DEC,,3,300,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Daniel Rodriguez,Kevin Lee,Welterweight,Daniel Rodriguez,Kevin Lee,U-DEC,,3,300,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Andre Petroski,Micheal Gillmore,Middleweight,Andre Petroski,Micheal Gillmore,KO/TKO,Elbows,3,192,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Gerald Meerschaert,Makhmud Muradov,Middleweight,Gerald Meerschaert,Makhmud Muradov,SUB,Rear Naked Choke,2,109,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Abdul Razak Alhassan,Alessio Di Chirico,Middleweight,Abdul Razak Alhassan,Alessio Di Chirico,KO/TKO,Kick,1,17,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Wellington Turman,Sam Alvey,Middleweight,Wellington Turman,Sam Alvey,S-DEC,,3,300,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Dustin Jacoby,Darren Stewart,Light Heavyweight,Dustin Jacoby,Darren Stewart,KO/TKO,Punches,1,184,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
JJ Aldrich,Vanessa Demopoulos,Women's Flyweight,JJ Aldrich,Vanessa Demopoulos,U-DEC,,3,300,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Pat Sabatini,Jamall Emmers,Featherweight,Pat Sabatini,Jamall Emmers,SUB,Heel Hook,1,113,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
Mana Martinez,Guido Cannetti,Bantamweight,Mana Martinez,Guido Cannetti,S-DEC,,3,300,UFC Fight Night: Barboza vs. Chikadze,2021-08-28
