Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Whittaker vs. Till,2020-07-25,Bantamweight,Nathaniel Wood,John Castaneda,Decision,Unanimous Decision,3,300,Nathaniel Wood,66,140,69,Orthodox,17,5,0,1993-05-08,0,131,232,0.56,136,240,1,3,0.33,0,0,49,59,143,14,22,58,67,123,221,8,11,0,0,John Castaneda,66,135,71,Switch,18,5,0,1991-12-18,0,55,130,0.42,66,141,0,1,0.0,0,0,11,35,108,6,7,14,15,53,128,2,2,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Flyweight,Deiveson Figueiredo,Joseph Benavidez,SUB,Rear Naked Choke,1,288,Deiveson Figueiredo,65,125,68,Orthodox,20,2,1,1987-12-18,2,35,40,0.87,40,45,0,0,0.0,4,0,143,31,36,4,4,0,0,12,16,0,0,23,24,Joseph Benavidez,64,125,65,Southpaw,28,8,0,1984-07-31,0,18,28,0.64,22,33,0,0,0.0,0,0,0,8,15,5,7,5,6,18,28,0,0,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Middleweight,Jack Hermansson,Kelvin Gastelum,SUB,Heel Hook,1,78,Jack Hermansson,73,185,77,Orthodox,22,6,0,1988-06-10,0,2,4,0.5,2,4,0,1,0.0,1,0,0,0,1,0,1,2,2,2,4,0,0,0,0,Kelvin Gastelum,69,185,71,Southpaw,17,8,0,1991-10-24,0,0,3,0.0,1,5,1,1,1.0,0,0,33,0,1,0,2,0,0,0,3,0,0,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Lightweight,Rafael Fiziev,Marc Diakiese,Decision,Unanimous Decision,3,300,Rafael Fiziev,68,155,71,Switch,10,1,0,1993-03-05,0,78,124,0.62,82,128,1,2,0.5,0,0,169,28,65,33,41,17,18,67,110,9,12,2,2,Marc Diakiese,70,155,73,Orthodox,14,4,0,1993-03-16,0,68,148,0.45,73,153,0,4,0.0,0,0,22,31,105,19,21,18,22,66,146,2,2,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Women's Flyweight,Ariane Lipski,Luana Carolina,SUB,Kneebar,1,88,Ariane Lipski,66,125,67,Orthodox,14,7,0,1994-01-26,0,3,4,0.75,11,12,0,0,0.0,1,0,67,1,2,2,2,0,0,3,4,0,0,0,0,Luana Carolina,66,125,69,Orthodox,8,2,0,1993-06-11,0,2,4,0.5,2,4,0,0,0.0,1,0,0,0,2,0,0,2,2,2,4,0,0,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Flyweight,Askar Askarov,Alexandre Pantoja,Decision,Unanimous Decision,3,300,Askar Askarov,66,125,67,Orthodox,13,0,1,1992-10-09,0,41,63,0.65,44,66,2,15,0.13,0,1,311,31,53,1,1,9,9,34,54,5,6,2,3,Alexandre Pantoja,65,125,67,Orthodox,24,5,0,1990-04-16,0,32,62,0.51,40,71,1,2,0.5,0,0,137,17,40,12,19,3,3,30,60,1,1,1,1
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Light Heavyweight,Roman Dolidze,Khadis Ibragimov,KO/TKO,Knee,1,255,Roman Dolidze,74,205,76,Orthodox,9,1,0,1988-07-15,1,19,22,0.86,19,22,0,0,0.0,0,0,3,9,11,1,1,9,10,13,16,0,0,6,6,Khadis Ibragimov,75,205,78,Orthodox,8,4,0,1995-05-21,0,4,14,0.28,10,20,0,0,0.0,0,0,34,0,8,1,3,3,3,3,12,0,0,1,2
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Catch Weight,Grant Dawson,Nad Narimani,Decision,Unanimous Decision,3,300,Grant Dawson,70,155,72,Switch,17,1,1,1994-02-20,0,53,115,0.46,136,218,2,6,0.33,1,0,491,25,74,5,14,23,27,48,108,0,0,5,7,Nad Narimani,68,145,70,Orthodox,12,4,0,1987-04-14,0,31,76,0.4,57,105,0,0,0.0,0,0,9,17,59,12,15,2,2,28,73,2,2,1,1
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Lightweight,Joel Alvarez,Joe Duffy,SUB,Guillotine Choke,1,145,Joel Alvarez,75,155,77,Orthodox,18,2,0,1994-03-02,0,18,37,0.48,18,37,0,0,0.0,1,0,0,7,24,3,4,8,9,18,36,0,1,0,0,Joe Duffy,70,155,73,Orthodox,16,5,0,1988-02-18,0,14,26,0.53,14,26,1,1,1.0,0,0,9,6,16,4,5,4,5,14,26,0,0,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Bantamweight,Brett Johns,Montel Jackson,Decision,Unanimous Decision,3,300,Brett Johns,67,135,71,Orthodox,17,2,0,1992-02-21,0,11,19,0.57,30,39,8,19,0.42,1,0,522,7,14,2,3,2,2,4,11,6,6,1,2,Montel Jackson,70,135,75,Southpaw,11,2,0,1992-04-24,1,26,44,0.59,80,99,2,3,0.66,0,1,161,18,35,6,6,2,3,14,31,5,5,7,8
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Bantamweight,Amir Albazi,Malcolm Gordon,SUB,Triangle Choke,1,282,Amir Albazi,65,125,68,Orthodox,14,1,0,1993-10-27,0,12,28,0.42,28,46,1,1,1.0,1,0,141,8,24,2,2,2,2,10,25,0,0,2,3,Malcolm Gordon,67,125,71,Switch,13,5,0,1990-05-19,0,3,16,0.18,5,18,0,0,0.0,0,1,22,1,11,1,1,1,4,3,16,0,0,0,0
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Lightweight,Arman Tsarukyan,Davi Ramos,Decision,Unanimous Decision,3,300,Arman Tsarukyan,67,155,72,Orthodox,17,2,0,1996-10-11,0,91,197,0.46,118,227,1,5,0.2,0,0,188,60,160,13,19,18,18,80,182,6,7,5,8,Davi Ramos,66,155,70,Orthodox,10,4,0,1986-11-05,0,33,103,0.32,49,122,0,5,0.0,0,0,18,20,82,10,18,3,3,29,92,4,7,0,4
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-18,Heavyweight,Serghei Spivac,Carlos Felipe,Decision,Majority Decision,3,300,Serghei Spivac,75,260,78,Orthodox,13,3,0,1995-01-24,0,73,149,0.48,165,253,3,7,0.42,0,0,292,72,148,1,1,0,0,47,121,3,3,23,25,Carlos Felipe,72,245,75,Orthodox,11,2,0,1995-01-12,0,44,121,0.36,44,121,0,0,0.0,0,0,0,30,107,14,14,0,0,44,121,0,0,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Featherweight,Calvin Kattar,Dan Ige,Decision,Unanimous Decision,5,300,Calvin Kattar,71,145,72,Orthodox,22,5,0,1988-03-26,0,105,260,0.4,107,262,1,1,1.0,0,0,66,70,211,19,32,16,17,95,236,1,3,9,21,Dan Ige,67,145,71,Orthodox,15,4,0,1991-08-06,0,84,218,0.38,87,221,0,9,0.0,0,0,3,37,150,30,46,17,22,82,216,2,2,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Flyweight,Tim Elliott,Ryan Benoit,Decision,Unanimous Decision,3,300,Tim Elliott,67,125,66,Southpaw,18,12,1,1986-12-24,0,67,169,0.39,90,193,1,13,0.07,2,1,162,31,100,16,40,20,29,44,139,14,20,9,10,Ryan Benoit,65,125,68,Orthodox,10,8,0,1989-08-25,0,55,122,0.45,64,131,1,2,0.5,2,0,22,39,97,13,22,3,3,47,107,8,15,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Featherweight,Jimmie Rivera,Cody Stamann,Decision,Unanimous Decision,3,300,Jimmie Rivera,64,135,68,Orthodox,23,5,0,1989-06-29,0,48,89,0.53,90,134,2,3,0.66,1,0,119,16,44,13,16,19,29,32,68,12,16,4,5,Cody Stamann,66,145,64,Orthodox,19,4,1,1989-11-09,0,26,72,0.36,62,108,1,5,0.2,0,0,265,13,55,8,11,5,6,18,61,8,11,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Women's Flyweight,Taila Santos,Molly McCann,Decision,Unanimous Decision,3,300,Taila Santos,66,125,68,Orthodox,18,1,0,1993-06-22,0,57,143,0.39,75,164,5,7,0.71,1,0,473,24,90,21,36,12,17,34,113,12,13,11,17,Molly McCann,64,125,62,Orthodox,11,4,0,1990-05-04,0,48,106,0.45,67,125,0,4,0.0,0,0,56,25,79,13,17,10,10,43,96,5,10,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Welterweight,Mounir Lazzez,Abdul Razak Alhassan,Decision,Unanimous Decision,3,300,Mounir Lazzez,73,170,76,Orthodox,10,2,0,1987-11-16,0,98,177,0.55,114,194,4,4,1.0,0,0,292,51,118,25,36,22,23,78,151,14,20,6,6,Abdul Razak Alhassan,70,185,73,Orthodox,11,4,0,1985-08-11,0,67,133,0.5,70,136,1,4,0.25,0,0,91,49,108,6,6,12,19,61,119,6,14,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Middleweight,Khamzat Chimaev,John Phillips,SUB,D'Arce Choke,2,72,Khamzat Chimaev,74,170,75,Orthodox,10,0,0,1994-05-01,0,43,52,0.82,124,140,2,2,1.0,1,0,354,40,49,1,1,2,2,1,1,0,0,42,51,John Phillips,71,185,75,Southpaw,22,11,0,1985-06-09,0,1,2,0.5,2,3,0,0,0.0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Featherweight,Lerone Murphy,Ricardo Ramos,KO/TKO,Punch,1,258,Lerone Murphy,69,145,73,Orthodox,11,0,1,1991-07-22,0,22,40,0.55,24,42,1,2,0.5,0,0,82,14,32,5,5,3,3,3,12,2,3,17,25,Ricardo Ramos,69,145,72,Orthodox,15,4,0,1995-08-01,0,10,29,0.34,10,29,0,2,0.0,0,0,57,3,17,1,3,6,9,7,25,1,2,2,2
UFC Fight Night: Kattar vs. Ige,2020-07-15,Light Heavyweight,Modestas Bukauskas,Andreas Michailidis,KO/TKO,Punch,1,300,Modestas Bukauskas,75,205,78,Switch,11,5,0,1994-02-10,0,18,49,0.36,18,49,0,0,0.0,0,0,0,11,40,4,6,3,3,11,42,7,7,0,0,Andreas Michailidis,72,185,76,Orthodox,13,4,0,1988-07-18,0,23,46,0.5,23,46,0,1,0.0,0,0,9,8,26,7,11,8,9,23,45,0,1,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Featherweight,Jared Gordon,Chris Fishgold,Decision,Unanimous Decision,3,300,Jared Gordon,69,145,68,Orthodox,18,4,0,1988-09-06,0,44,69,0.63,241,282,3,6,0.5,0,0,622,35,58,6,8,3,3,19,35,2,3,23,31,Chris Fishgold,68,145,68,Orthodox,18,4,1,1992-06-06,0,20,58,0.34,27,65,0,1,0.0,1,1,43,13,49,5,7,2,2,16,52,4,6,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Women's Flyweight,Liana Jojua,Diana Belbita,SUB,Armbar,1,163,Liana Jojua,64,125,62,Orthodox,8,4,0,1995-03-22,0,2,3,0.66,3,4,0,0,0.0,3,0,52,1,2,1,1,0,0,1,2,1,1,0,0,Diana Belbita,67,125,68,Orthodox,14,6,0,1996-06-26,0,5,9,0.55,6,11,1,2,0.5,0,0,94,3,6,2,3,0,0,3,5,2,4,0,0
UFC Fight Night: Kattar vs. Ige,2020-07-15,Bantamweight,Jack Shore,Aaron Phillips,SUB,Rear Naked Choke,2,149,Jack Shore,68,135,71,Orthodox,15,0,0,1995-02-06,0,29,45,0.64,42,59,3,8,0.37,1,0,325,19,32,5,6,5,7,7,14,6,6,16,25,Aaron Phillips,69,135,71,Southpaw,12,4,0,1989-08-05,0,6,15,0.4,7,16,0,0,0.0,0,0,5,1,9,5,6,0,0,5,14,1,1,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Welterweight,Kamaru Usman,Jorge Masvidal,Decision,Unanimous Decision,5,300,Kamaru Usman,72,170,76,Switch,19,1,0,1987-05-11,0,94,151,0.62,263,341,5,16,0.31,0,0,998,43,96,49,53,2,2,42,86,39,49,13,16,Jorge Masvidal,71,170,74,Orthodox,35,15,0,1984-11-12,0,66,125,0.52,88,157,0,0,0.0,0,0,0,23,69,29,39,14,17,38,90,27,34,1,1
UFC 251: Usman vs. Masvidal,2020-07-11,Featherweight,Alexander Volkanovski,Max Holloway,Decision,Split Decision,5,300,Alexander Volkanovski,66,145,71,Orthodox,23,1,0,1988-09-29,0,137,272,0.5,139,275,3,9,0.33,0,0,86,64,161,6,10,67,101,136,265,1,6,0,1,Max Holloway,71,145,69,Orthodox,22,6,0,1991-12-04,0,102,268,0.38,111,277,0,0,0.0,0,0,0,44,167,27,46,31,55,95,258,7,10,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Bantamweight,Petr Yan,Jose Aldo,KO/TKO,Punch,5,204,Petr Yan,67,135,67,Switch,16,2,0,1993-02-11,1,194,309,0.62,258,376,1,2,0.5,0,0,290,150,256,35,44,9,9,99,201,9,11,86,97,Jose Aldo,67,135,70,Orthodox,30,7,0,1986-09-09,0,83,157,0.52,83,157,0,1,0.0,0,0,0,38,97,28,39,17,21,81,154,2,3,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Women's Strawweight,Rose Namajunas,Jessica Andrade,Decision,Split Decision,3,300,Rose Namajunas,65,115,65,Orthodox,11,4,0,1992-06-29,0,82,235,0.34,82,235,0,1,0.0,0,0,0,63,209,12,19,7,7,77,225,5,10,0,0,Jessica Andrade,61,125,62,Orthodox,22,9,0,1991-09-25,0,71,205,0.34,79,213,1,3,0.33,0,0,29,31,134,25,55,15,16,64,194,7,11,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Women's Flyweight,Amanda Ribas,Paige VanZant,SUB,Armbar,1,141,Amanda Ribas,63,125,66,Orthodox,11,2,0,1993-08-26,0,6,7,0.85,13,15,1,1,1.0,1,0,68,1,1,4,5,1,1,3,4,3,3,0,0,Paige VanZant,64,115,65,Orthodox,8,5,0,1994-03-26,0,3,5,0.6,4,6,0,0,0.0,0,0,32,1,1,0,1,2,3,3,4,0,1,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Light Heavyweight,Jiri Prochazka,Volkan Oezdemir,KO/TKO,Punch,2,49,Jiri Prochazka,75,205,80,Orthodox,28,3,1,1992-10-14,1,33,73,0.45,33,73,0,0,0.0,0,0,2,29,67,3,5,1,1,33,73,0,0,0,0,Volkan Oezdemir,74,205,75,Orthodox,17,6,0,1989-09-19,0,41,92,0.44,44,95,0,1,0.0,0,0,17,30,76,3,6,8,10,41,92,0,0,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Welterweight,Muslim Salikhov,Elizeu Zaleski dos Santos,Decision,Split Decision,3,300,Muslim Salikhov,71,170,70,Orthodox,18,2,0,1984-06-09,0,40,88,0.45,40,88,0,3,0.0,0,0,2,23,64,8,14,9,10,38,86,2,2,0,0,Elizeu Zaleski dos Santos,71,170,73,Orthodox,23,7,0,1986-12-11,0,46,138,0.33,46,138,0,4,0.0,0,0,53,23,98,11,25,12,15,35,124,3,4,8,10
UFC 251: Usman vs. Masvidal,2020-07-11,Featherweight,Makwan Amirkhani,Danny Henry,SUB,Anaconda Choke,1,195,Makwan Amirkhani,70,145,72,Southpaw,16,7,0,1988-11-08,0,2,6,0.33,2,6,1,1,1.0,1,0,47,1,5,1,1,0,0,2,6,0,0,0,0,Danny Henry,72,145,73,Orthodox,12,4,0,1988-07-17,0,6,16,0.37,6,16,0,0,0.0,0,0,0,1,6,3,7,2,3,6,16,0,0,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Lightweight,Leonardo Santos,Roman Bogatov,Decision,Unanimous Decision,3,300,Leonardo Santos,72,155,75,Orthodox,18,5,1,1980-02-05,0,66,119,0.55,116,181,1,2,0.5,0,0,94,56,106,6,9,4,4,42,89,10,12,14,18,Roman Bogatov,68,155,73,Orthodox,10,1,0,1990-12-15,0,50,117,0.42,81,155,1,11,0.09,0,1,367,24,82,20,29,6,6,37,96,6,7,7,14
UFC 251: Usman vs. Masvidal,2020-07-11,Heavyweight,Marcin Tybura,Maxim Grishin,Decision,Unanimous Decision,3,300,Marcin Tybura,75,249,78,Orthodox,22,7,0,1985-11-09,0,24,52,0.46,70,119,3,7,0.42,0,0,565,15,36,5,9,4,7,14,37,6,11,4,4,Maxim Grishin,75,220,78,Orthodox,31,9,2,1984-05-02,0,18,32,0.56,54,71,0,0,0.0,0,0,16,9,20,4,5,5,7,14,27,4,5,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Flyweight,Raulian Paiva,Zhalgas Zhumagulov,Decision,Unanimous Decision,3,300,Raulian Paiva,68,125,69,Orthodox,21,3,0,1995-10-17,0,52,121,0.42,56,125,0,0,0.0,0,0,43,14,71,22,31,16,19,51,119,1,2,0,0,Zhalgas Zhumagulov,64,125,66,Switch,14,5,0,1988-08-29,0,66,119,0.55,73,126,2,11,0.18,0,0,29,19,61,17,25,30,33,64,115,1,2,1,2
UFC 251: Usman vs. Masvidal,2020-07-11,Women's Bantamweight,Karol Rosa,Vanessa Melo,Decision,Unanimous Decision,3,300,Karol Rosa,65,135,67,Orthodox,15,3,0,1994-12-30,0,120,228,0.52,177,289,2,4,0.5,0,0,350,82,180,11,16,27,32,87,178,1,1,32,49,Vanessa Melo,65,135,65,Orthodox,11,8,0,1988-03-27,0,45,135,0.33,78,168,0,2,0.0,0,0,6,22,103,5,10,18,22,43,133,2,2,0,0
UFC 251: Usman vs. Masvidal,2020-07-11,Bantamweight,Davey Grant,Martin Day,KO/TKO,Punch,3,158,Davey Grant,68,135,69,Orthodox,13,5,0,1985-12-18,1,74,177,0.41,87,191,2,4,0.5,1,0,128,47,144,19,24,8,9,69,169,2,3,3,5,Martin Day,70,145,73,Orthodox,8,6,0,1988-11-10,1,62,160,0.38,69,168,0,1,0.0,0,1,88,45,133,15,24,2,3,60,155,0,0,2,5
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Lightweight,Dustin Poirier,Dan Hooker,Decision,Unanimous Decision,5,300,Dustin Poirier,69,155,72,Southpaw,28,6,0,1989-01-19,0,153,231,0.66,208,289,1,7,0.14,4,0,169,131,205,20,24,2,2,116,188,20,22,17,21,Dan Hooker,72,155,75,Switch,21,11,0,1990-02-13,0,155,253,0.61,182,283,4,9,0.44,0,0,362,98,177,36,53,21,23,136,229,12,16,7,8
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Welterweight,Mike Perry,Mickey Gall,Decision,Unanimous Decision,3,300,Mike Perry,70,170,71,Orthodox,14,8,0,1991-09-15,1,76,131,0.58,103,158,1,1,1.0,0,0,344,49,98,14,20,13,13,51,100,6,6,19,25,Mickey Gall,74,170,74,Switch,7,3,0,1992-01-22,0,55,106,0.51,59,111,0,6,0.0,0,1,51,39,89,8,9,8,8,51,97,3,6,1,3
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Heavyweight,Maurice Greene,Gian Villante,SUB,Arm Triangle,3,224,Maurice Greene,79,258,80,Orthodox,9,7,0,1986-07-05,0,63,137,0.45,64,139,0,0,0.0,1,0,0,24,87,12,19,27,31,62,136,1,1,0,0,Gian Villante,75,230,76,Orthodox,17,13,0,1985-08-18,1,72,105,0.68,91,126,0,0,0.0,0,0,157,35,59,11,16,26,30,51,79,0,0,21,26
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Middleweight,Brendan Allen,Kyle Daukaus,Decision,Unanimous Decision,3,300,Brendan Allen,74,185,75,Orthodox,17,4,0,1995-12-28,1,41,66,0.62,79,109,0,0,0.0,0,4,337,31,55,9,10,1,1,13,26,3,3,25,37,Kyle Daukaus,75,185,76,Southpaw,10,2,0,1993-02-27,0,34,58,0.58,92,127,3,5,0.6,0,1,464,29,51,3,5,2,2,19,35,2,3,13,20
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Welterweight,Takashi Sato,Jason Witt,KO/TKO,Punch,1,48,Takashi Sato,70,170,73,Southpaw,16,4,0,1990-06-09,1,18,21,0.85,18,21,0,0,0.0,0,0,11,18,21,0,0,0,0,3,5,0,0,15,16,Jason Witt,70,170,70,Orthodox,19,7,0,1986-11-07,0,2,5,0.4,2,5,0,1,0.0,0,0,0,0,2,1,2,1,1,2,5,0,0,0,0
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Catch Weight,Julian Erosa,Sean Woodson,SUB,D'Arce Choke,3,164,Julian Erosa,73,145,74,Southpaw,26,10,0,1989-07-31,0,103,206,0.5,107,210,3,6,0.5,1,0,73,61,144,22,39,20,23,84,179,19,27,0,0,Sean Woodson,74,145,78,Orthodox,8,1,0,1992-06-07,1,106,219,0.48,116,230,0,0,0.0,0,0,5,93,203,7,10,6,6,102,211,3,5,1,3
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Lightweight,Khama Worthy,Luis Pena,SUB,Guillotine Choke,3,173,Khama Worthy,71,155,74,Orthodox,16,9,0,1986-10-15,0,55,101,0.54,66,114,0,0,0.0,1,2,46,20,61,18,22,17,18,51,96,1,2,3,3,Luis Pena,75,155,75,Southpaw,9,3,0,1993-07-05,0,38,77,0.49,40,79,3,7,0.42,3,0,253,25,61,6,8,7,8,33,70,0,0,5,7
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Heavyweight,Tanner Boser,Philipe Lins,KO/TKO,Punch,1,161,Tanner Boser,74,255,75,Orthodox,20,8,1,1991-08-02,1,15,22,0.68,15,22,0,0,0.0,0,0,1,6,12,2,2,7,8,14,21,0,0,1,1,Philipe Lins,74,240,78,Orthodox,14,5,0,1985-08-17,0,6,17,0.35,6,17,0,0,0.0,0,0,0,3,9,3,8,0,0,6,17,0,0,0,0
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Women's Strawweight,Kay Hansen,Jinh Yu Frey,SUB,Armbar,3,146,Kay Hansen,62,115,63,Orthodox,7,4,0,1999-08-14,0,31,55,0.56,43,67,2,11,0.18,1,0,271,16,37,12,12,3,6,16,40,1,1,14,14,Jinh Yu Frey,63,115,65,Southpaw,11,6,0,1985-05-20,0,26,46,0.56,27,48,0,0,0.0,0,0,7,7,22,4,7,15,17,23,39,3,6,0,1
UFC Fight Night: Poirier vs. Hooker,2020-06-27,Featherweight,Youssef Zalal,Jordan Griffin,Decision,Unanimous Decision,3,300,Youssef Zalal,70,145,72,Switch,10,5,0,1996-09-04,0,59,112,0.52,70,123,0,2,0.0,0,1,263,42,85,11,18,6,9,47,98,12,12,0,2,Jordan Griffin,70,145,73,Southpaw,18,9,0,1990-02-28,0,28,69,0.4,33,74,2,8,0.25,0,1,334,26,67,2,2,0,0,28,67,0,0,0,2
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Heavyweight,Curtis Blaydes,Alexander Volkov,Decision,Unanimous Decision,5,300,Curtis Blaydes,76,265,80,Orthodox,15,3,0,1991-02-18,0,69,99,0.69,116,163,14,25,0.56,0,0,1192,34,60,7,9,28,30,30,52,6,6,33,41,Alexander Volkov,79,250,80,Orthodox,34,9,0,1988-10-24,0,31,77,0.4,127,177,1,2,0.5,0,0,46,22,62,6,12,3,3,31,76,0,1,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Featherweight,Josh Emmett,Shane Burgos,Decision,Unanimous Decision,3,300,Josh Emmett,66,145,70,Orthodox,16,2,0,1985-03-04,2,127,266,0.47,136,275,1,1,1.0,0,0,84,98,232,16,21,13,13,111,243,0,0,16,23,Shane Burgos,71,145,75,Orthodox,13,3,0,1991-03-19,0,128,250,0.51,148,270,0,0,0.0,0,0,0,68,174,20,32,40,44,121,243,7,7,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Women's Bantamweight,Raquel Pennington,Marion Reneau,Decision,Unanimous Decision,3,300,Raquel Pennington,67,135,67,Orthodox,12,9,0,1988-09-05,0,107,154,0.69,118,165,1,2,0.5,0,1,329,54,97,46,50,7,7,51,93,52,56,4,5,Marion Reneau,66,135,68,Orthodox,9,8,1,1977-06-20,0,46,117,0.39,81,154,2,4,0.5,0,0,228,20,85,20,25,6,7,22,84,24,33,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Welterweight,Belal Muhammad,Lyman Good,Decision,Unanimous Decision,3,300,Belal Muhammad,71,170,72,Orthodox,19,3,0,1988-07-09,0,82,172,0.47,86,176,2,8,0.25,0,0,104,58,145,14,16,10,11,73,160,9,12,0,0,Lyman Good,72,170,74,Orthodox,21,6,0,1985-05-26,0,81,172,0.47,84,175,0,0,0.0,0,0,7,54,141,22,25,5,6,64,155,17,17,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Catch Weight,Jim Miller,Roosevelt Roberts,SUB,Armbar,1,145,Jim Miller,68,155,71,Southpaw,33,16,0,1983-08-30,0,2,3,0.66,9,10,0,0,0.0,1,0,108,0,1,1,1,1,1,1,1,0,0,1,2,Roosevelt Roberts,74,155,73,Orthodox,10,3,0,1994-02-11,0,1,2,0.5,7,8,0,0,0.0,0,0,26,1,1,0,1,0,0,0,1,0,0,1,1
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Lightweight,Bobby Green,Clay Guida,Decision,Unanimous Decision,3,300,Bobby Green,70,155,71,Orthodox,27,12,1,1986-09-09,0,85,150,0.56,90,158,2,3,0.66,2,0,71,38,95,36,44,11,11,55,119,16,17,14,14,Clay Guida,67,155,70,Orthodox,36,18,0,1981-12-08,0,23,65,0.35,27,69,3,12,0.25,0,0,272,10,46,1,5,12,14,23,64,0,1,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Women's Strawweight,Tecia Torres,Brianna Van Buren,Decision,Unanimous Decision,3,300,Tecia Torres,61,115,60,Orthodox,13,5,0,1989-08-16,0,74,160,0.46,111,199,0,3,0.0,0,0,129,42,127,21,22,11,11,55,136,17,21,2,3,Brianna Van Buren,60,115,62,Southpaw,9,3,0,1993-08-04,0,34,68,0.5,37,71,2,7,0.28,0,0,274,9,40,21,22,4,6,18,51,16,17,0,0
UFC Fight Night: Blaydes vs. Volkov,2020-06-20,Women's Flyweight,Gillian Robertson,Cortney Casey,SUB,Rear Naked Choke,3,276,Gillian Robertson,65,125,63,Orthodox,9,6,0,1995-05-17,0,21,50,0.42,41,72,3,4,0.75,1,0,665,15,41,2,4,4,5,8,33,1,1,12,16,Cortney Casey,67,125,67,Orthodox,9,9,0,1987-05-05,0,22,55,0.4,113,153,0,0,0.0,0,0,0,16,47,2,3,4,5,20,53,2,2,0,0
